                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.1492,                 5.5045,                 2.9698,                0.00026,                0.01045,                0.00014,                  2e-05,                  3.902,                 5.6535,                 2.8485,                 0.0784,                 0.0024,                 0.0024
                      1,                 3.9134,                 5.1107,                 2.8531,                0.00026,                0.00778,                0.00014,                  3e-05,                 3.7218,                 5.0082,                 2.7086,               0.055876,              0.0048757,              0.0048757
                      2,                  3.672,                 4.6063,                 2.6322,                0.00149,                0.05854,                0.00119,                0.00031,                 3.3774,                 4.4049,                 2.5571,               0.033327,              0.0073267,              0.0073267
                      3,                 3.3986,                 4.2771,                 2.4712,                0.00667,                0.05854,                0.00506,                0.00151,                   3.05,                 4.3597,                 2.4047,               0.010753,               0.009753,               0.009753
                      4,                 3.2547,                 3.9327,                 2.2475,                0.29799,                0.03901,                  0.007,                0.00236,                 2.7136,                 4.9033,                 2.2123,               0.009802,               0.009802,               0.009802
                      5,                  3.058,                 3.7309,                 2.1487,                 0.0835,                0.14636,                0.05234,                0.01921,                 2.4609,                 3.7789,                 1.9332,               0.009802,               0.009802,               0.009802
                      6,                 2.8416,                 3.5085,                 2.0314,                0.61453,                0.07102,                0.04113,                0.01693,                 2.7722,                 3.3247,                 2.0086,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.7954,                 3.5506,                 1.8467,                0.61453,                0.07102,                0.04113,                0.01693,                 2.7722,                 3.3247,                 2.0086,               0.009703,               0.009703,               0.009703
                      8,                 2.6451,                 3.4499,                  1.831,                0.89361,                0.08699,                0.12556,                0.04689,                 2.6641,                 3.1621,                 1.9293,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.4687,                  3.668,                 1.8052,                0.94322,                0.10608,                0.15404,                0.07207,                 2.0612,                 3.3975,                 1.6049,               0.009604,               0.009604,               0.009604
                     10,                 2.3424,                  4.251,                 1.7667,                0.79781,                0.10852,                0.16173,                0.07793,                 2.0516,                 3.5407,                 1.6064,              0.0095545,              0.0095545,              0.0095545
                     11,                 2.3004,                 3.9839,                 1.6765,                0.79781,                0.10852,                0.16173,                0.07793,                 2.0516,                 3.5407,                 1.6064,               0.009505,               0.009505,               0.009505
                     12,                 2.3494,                 3.6425,                 1.7318,                0.15044,                0.13927,                0.05842,                0.02144,                 2.1809,                 3.0905,                 1.6421,              0.0094555,              0.0094555,              0.0094555
                     13,                  2.248,                 3.2522,                 1.7062,                0.34567,                0.13809,                0.04804,                0.02086,                 2.1006,                  3.012,                 1.6442,               0.009406,               0.009406,               0.009406
                     14,                 2.2445,                 3.0184,                 1.5908,                0.04877,                 0.1958,                0.10185,                 0.0524,                 1.7526,                 2.8856,                  1.453,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.9998,                 2.8754,                 1.4709,                0.19934,                 0.2081,                0.08714,                0.04801,                 1.6319,                 2.5392,                 1.3885,               0.009307,               0.009307,               0.009307
                     16,                 1.8941,                 2.8267,                 1.4775,                0.19934,                 0.2081,                0.08714,                0.04801,                 1.6319,                 2.5392,                 1.3885,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.8554,                 2.7094,                 1.4292,                0.37564,                0.19386,                0.09331,                0.04083,                 1.6717,                 2.8592,                 1.3956,               0.009208,               0.009208,               0.009208
                     18,                 1.8367,                 2.5889,                 1.4643,                0.22399,                0.22258,                0.23678,                  0.145,                 1.4368,                 2.2998,                 1.2722,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.7389,                 2.4793,                 1.3758,                0.21075,                0.39474,                0.24673,                0.13955,                 1.5101,                 1.9657,                  1.301,               0.009109,               0.009109,               0.009109
                     20,                 1.7203,                  2.203,                 1.3649,                0.21075,                0.39474,                0.24673,                0.13955,                 1.5101,                 1.9657,                  1.301,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.9007,                 2.2293,                 1.4248,                 0.2641,                0.36687,                0.35571,                0.13817,                  1.769,                 1.7591,                 1.4026,                0.00901,                0.00901,                0.00901
                     22,                 1.6871,                   1.89,                 1.3874,                0.28945,                0.37328,                0.39473,                0.22227,                 1.5947,                 1.5117,                 1.3469,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6177,                 1.8272,                  1.326,                0.41672,                0.36569,                0.38289,                0.20547,                 1.5182,                 1.5827,                 1.2729,               0.008911,               0.008911,               0.008911
                     24,                 1.7363,                 1.8082,                 1.3971,                0.42953,                0.41964,                0.34296,                0.18965,                 1.4538,                  1.653,                 1.2682,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.6245,                 1.7972,                 1.3236,                0.42953,                0.41964,                0.34296,                0.18965,                 1.4538,                  1.653,                 1.2682,               0.008812,               0.008812,               0.008812
                     26,                 1.5249,                 1.6735,                 1.2311,                0.32349,                 0.4043,                0.26123,                0.14825,                 1.3658,                  1.952,                 1.2219,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.4889,                 1.6512,                 1.2425,                0.52861,                0.42034,                0.44135,                0.27126,                 1.3594,                 1.2427,                 1.1966,               0.008713,               0.008713,               0.008713
                     28,                 1.5623,                 1.5154,                 1.2321,                  0.479,                0.42781,                0.47225,                0.30862,                 1.2826,                 1.4871,                 1.1626,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.6857,                 1.4192,                 1.2779,                  0.479,                0.42781,                0.47225,                0.30862,                 1.2826,                 1.4871,                 1.1626,               0.008614,               0.008614,               0.008614
                     30,                 1.6091,                 1.5092,                 1.2575,                0.59249,                0.45424,                0.39361,                0.25656,                 1.2552,                 1.4084,                 1.1574,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.5191,                 1.5382,                 1.2314,                0.55743,                0.56111,                0.49705,                0.31592,                 1.3422,                  1.228,                 1.2003,               0.008515,               0.008515,               0.008515
                     32,                 1.4207,                 1.6805,                 1.1999,                0.72845,                0.46217,                0.52751,                0.34281,                 1.2828,                 1.5867,                 1.1528,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.3966,                 1.7978,                 1.1961,                0.55876,                0.51451,                0.53797,                0.35214,                 1.2756,                 1.2075,                 1.1463,               0.008416,               0.008416,               0.008416
                     34,                 1.3807,                 1.5761,                 1.1883,                0.55876,                0.51451,                0.53797,                0.35214,                 1.2756,                 1.2075,                 1.1463,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.3005,                 1.2624,                 1.1295,                0.75818,                0.57238,                0.57166,                0.40134,                  1.164,                  1.074,                    1.1,               0.008317,               0.008317,               0.008317
                     36,                 1.4061,                 1.3094,                 1.1847,                0.71068,                0.48678,                0.55633,                 0.3501,                 1.4037,                 1.1944,                 1.1874,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.3972,                  1.324,                 1.1196,                0.72755,                0.47842,                0.57538,                0.40035,                 1.1817,                 1.2318,                 1.1029,               0.008218,               0.008218,               0.008218
                     38,                 1.3292,                 1.2129,                  1.108,                0.80189,                0.56847,                0.58067,                0.36243,                 1.3422,                0.93981,                 1.1729,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.4803,                 1.2127,                 1.1988,                0.80189,                0.56847,                0.58067,                0.36243,                 1.3422,                0.93981,                 1.1729,               0.008119,               0.008119,               0.008119
                     40,                 1.3723,                 1.1091,                 1.1708,                0.83469,                 0.5708,                0.58318,                0.39249,                 1.2178,                0.98868,                 1.1318,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.3277,                 1.0758,                  1.161,                0.84306,                0.61439,                0.61778,                0.41635,                 1.2644,                0.87962,                 1.1496,                0.00802,                0.00802,                0.00802
                     42,                  1.364,                 1.0795,                 1.1856,                0.82985,                0.55265,                0.62344,                0.42095,                 1.1937,                0.91672,                 1.1128,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.3731,                 1.1007,                 1.1628,                0.82985,                0.55265,                0.62344,                0.42095,                 1.1937,                0.91672,                 1.1128,               0.007921,               0.007921,               0.007921
                     44,                 1.2264,                0.99558,                 1.0634,                0.92206,                0.48483,                 0.6214,                0.39677,                 1.2076,                0.96097,                 1.1144,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.2926,                 1.1187,                 1.1242,                0.82433,                0.63079,                0.62899,                0.43677,                 1.2058,                0.92068,                 1.1172,               0.007822,               0.007822,               0.007822
                     46,                 1.3295,                 1.0743,                 1.1318,                0.86341,                0.60204,                0.64092,                0.45571,                 1.0901,                0.90024,                 1.0761,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.2111,                0.95955,                 1.0665,                0.87226,                0.62463,                0.65303,                0.47331,                 1.0972,                0.78567,                 1.0627,               0.007723,               0.007723,               0.007723
                     48,                 1.2684,                 1.0252,                  1.109,                0.87226,                0.62463,                0.65303,                0.47331,                 1.0972,                0.78567,                 1.0627,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.1583,                0.90155,                 1.0887,                0.92166,                0.60017,                0.64631,                0.45005,                 1.1276,                 0.8358,                 1.0775,               0.007624,               0.007624,               0.007624
                     50,                 1.2768,                 1.0134,                 1.0906,                0.87402,                0.61423,                0.66205,                 0.4543,                 1.2528,                0.83246,                 1.1342,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.216,                 1.1366,                 1.0903,                0.93192,                0.58191,                 0.6744,                0.49778,                 1.0183,                0.75246,                 1.0378,               0.007525,               0.007525,               0.007525
                     52,                 1.1632,                0.93305,                 1.0746,                0.93192,                0.58191,                 0.6744,                0.49778,                 1.0183,                0.75246,                 1.0378,              0.0074755,              0.0074755,              0.0074755
                     53,                  1.421,                 1.0156,                 1.1313,                0.88258,                0.62055,                0.65729,                0.43793,                 1.0963,                0.80127,                 1.0639,               0.007426,               0.007426,               0.007426
                     54,                 1.2769,                0.97219,                 1.0723,                0.88381,                0.63814,                0.69082,                0.46937,                 1.1117,                0.81815,                 1.0585,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1938,                0.91901,                 1.0784,                0.86943,                0.64115,                0.67682,                0.47542,                 1.0599,                0.75919,                 1.0545,               0.007327,               0.007327,               0.007327
                     56,                 1.1901,                0.91713,                 1.0938,                0.85524,                0.66418,                0.68664,                0.50436,                0.97661,                0.75651,                 1.0129,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.1831,                0.91642,                 1.0552,                0.85524,                0.66418,                0.68664,                0.50436,                0.97661,                0.75651,                 1.0129,               0.007228,               0.007228,               0.007228
                     58,                 1.1161,                0.89594,                 1.0283,                 0.8794,                0.64094,                0.67384,                0.46896,                 1.1699,                0.77808,                 1.0838,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.1158,                0.81174,                 1.0271,                 0.9221,                0.61557,                0.68907,                0.50775,                0.92578,                0.72694,                0.99589,               0.007129,               0.007129,               0.007129
                     60,                 1.1008,                0.80442,                 1.0682,                0.88969,                0.68547,                0.69058,                0.47335,                 1.2354,                0.74376,                 1.1096,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.1283,                0.87938,                 1.0562,                0.88969,                0.68547,                0.69058,                0.47335,                 1.2354,                0.74376,                 1.1096,                0.00703,                0.00703,                0.00703
                     62,                 1.1436,                0.83277,                 1.0473,                0.86872,                0.70143,                0.69812,                0.49965,                 1.0066,                0.68979,                 1.0185,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.1799,                0.76475,                 1.0299,                0.96181,                0.60825,                 0.7327,                 0.5171,                 1.0385,                 0.6601,                 1.0118,               0.006931,               0.006931,               0.006931
                     64,                 1.1522,                0.81421,                 1.0504,                0.90571,                0.68815,                0.81332,                0.58699,                0.95007,                0.65349,                0.99716,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.0702,                0.77848,                 1.0157,                0.91921,                0.69097,                0.76478,                0.56782,                0.98865,                 0.6701,                0.99729,               0.006832,               0.006832,               0.006832
                     66,                  1.136,                0.79145,                 1.0362,                0.91921,                0.69097,                0.76478,                0.56782,                0.98865,                 0.6701,                0.99729,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.1843,                0.79078,                 1.0424,                  0.954,                0.69423,                0.78866,                0.55086,                 1.0996,                  0.669,                 1.0435,               0.006733,               0.006733,               0.006733
                     68,                 1.1353,                0.80551,                 1.0289,                0.96121,                 0.6893,                 0.7721,                0.55927,                0.95751,                0.63143,                0.99821,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.0898,                 0.7658,                 1.0319,                0.96449,                0.66967,                0.83335,                0.59315,                0.92654,                0.62834,                0.98796,               0.006634,               0.006634,               0.006634
                     70,                 1.0532,                0.72388,                0.99243,                0.94137,                0.65557,                 0.8285,                0.55982,                 1.1707,                0.65364,                 1.0899,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.1507,                0.76648,                 1.0388,                0.94137,                0.65557,                 0.8285,                0.55982,                 1.1707,                0.65364,                 1.0899,               0.006535,               0.006535,               0.006535
                     72,                 1.1079,                0.78394,                 1.0352,                0.96858,                0.68235,                 0.8544,                0.62249,                0.87389,                0.59504,                0.96887,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.0526,                0.80972,                 1.0034,                0.77065,                0.80039,                0.83506,                0.59565,                 1.0494,                0.63436,                 1.0321,               0.006436,               0.006436,               0.006436
                     74,                 1.0372,                0.75854,                 1.0274,                0.85722,                0.80179,                0.86822,                0.63614,                0.88117,                0.58379,                0.97072,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.0562,                 0.7586,                   1.02,                0.85722,                0.80179,                0.86822,                0.63614,                0.88117,                0.58379,                0.97072,               0.006337,               0.006337,               0.006337
                     76,                0.97785,                0.76231,                  1.007,                0.93526,                0.79753,                0.87021,                0.63039,                0.91097,                0.61104,                0.98299,              0.0062875,              0.0062875,              0.0062875
                     77,                0.99188,                0.73887,                  1.006,                0.88209,                0.83092,                0.87754,                0.64831,                 0.8706,                0.59797,                0.96721,               0.006238,               0.006238,               0.006238
                     78,                 1.0507,                0.67943,                 0.9966,                0.83297,                0.82132,                0.85847,                0.62637,                0.90283,                0.58813,                0.97655,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.0565,                0.69371,                 1.0169,                0.81327,                0.83383,                0.84842,                0.62352,                0.91626,                0.61044,                0.97973,               0.006139,               0.006139,               0.006139
                     80,                 1.0482,                0.74161,                 1.0083,                0.81327,                0.83383,                0.84842,                0.62352,                0.91626,                0.61044,                0.97973,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.0179,                0.70634,                0.99802,                0.78857,                0.84045,                0.84828,                0.60803,                0.93198,                0.57026,                0.99033,                0.00604,                0.00604,                0.00604
                     82,                 1.0169,                0.71287,                 1.0198,                0.97173,                0.68284,                0.84993,                0.59662,                0.97469,                0.58293,                0.99758,              0.0059905,              0.0059905,              0.0059905
                     83,                   1.06,                0.72335,                0.98848,                0.96563,                0.69397,                0.85498,                0.62094,                0.91305,                0.56891,                0.98421,               0.005941,               0.005941,               0.005941
                     84,                 1.0235,                0.69341,                 1.0433,                0.96563,                0.69397,                0.85498,                0.62094,                0.91305,                0.56891,                0.98421,              0.0058915,              0.0058915,              0.0058915
                     85,                  1.008,                0.68602,                0.99857,                0.97932,                0.69026,                0.87414,                0.64265,                0.90742,                0.57056,                0.98219,               0.005842,               0.005842,               0.005842
                     86,                 1.0389,                0.67553,                 1.0615,                0.77866,                 0.8427,                0.89415,                0.64355,                0.93111,                0.57067,                0.99121,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.0199,                0.65474,                0.99779,                0.86461,                0.81819,                 0.9894,                0.72693,                0.87266,                 0.5521,                0.96959,               0.005743,               0.005743,               0.005743
                     88,                 1.0011,                0.64884,                 0.9969,                0.90267,                0.84941,                0.98949,                0.74645,                0.89927,                0.55838,                0.97728,              0.0056935,              0.0056935,              0.0056935
                     89,                0.97963,                0.66936,                0.96787,                0.90267,                0.84941,                0.98949,                0.74645,                0.89927,                0.55838,                0.97728,               0.005644,               0.005644,               0.005644
                     90,                0.90383,                0.64416,                0.95159,                0.93328,                0.84643,                0.98889,                0.71647,                0.93789,                0.57469,                0.98358,              0.0055945,              0.0055945,              0.0055945
                     91,                0.97923,                0.64167,                0.96651,                0.96416,                0.83569,                0.98925,                0.73569,                0.85558,                0.55548,                 0.9604,               0.005545,               0.005545,               0.005545
                     92,                0.98334,                0.66901,                0.98468,                0.93023,                0.81774,                0.98952,                 0.7464,                0.89009,                0.54974,                0.97384,              0.0054955,              0.0054955,              0.0054955
                     93,                0.95154,                0.65875,                0.99382,                0.93023,                0.81774,                0.98952,                 0.7464,                0.89009,                0.54974,                0.97384,               0.005446,               0.005446,               0.005446
                     94,                0.95486,                0.67865,                0.96294,                0.95447,                0.80444,                0.98922,                 0.7236,                0.88386,                0.56467,                0.97168,              0.0053965,              0.0053965,              0.0053965
                     95,                0.96637,                0.66205,                0.95396,                0.95253,                0.82153,                0.98988,                0.73591,                0.96325,                0.55158,                0.99731,               0.005347,               0.005347,               0.005347
                     96,                0.95131,                0.63576,                0.97306,                0.96949,                0.82224,                 0.9185,                0.71213,                0.83566,                0.52581,                0.95735,              0.0052975,              0.0052975,              0.0052975
                     97,                0.96676,                0.68814,                0.98587,                0.96665,                0.82651,                0.98983,                 0.7783,                0.88629,                0.53916,                0.96539,               0.005248,               0.005248,               0.005248
                     98,                0.97661,                0.61786,                0.96266,                0.96665,                0.82651,                0.98983,                 0.7783,                0.88629,                0.53916,                0.96539,              0.0051985,              0.0051985,              0.0051985
                     99,                0.92492,                0.63517,                0.95657,                0.96241,                0.84225,                0.98943,                0.77736,                0.84847,                0.51616,                0.95319,               0.005149,               0.005149,               0.005149
                    100,                0.95947,                0.61641,                0.93934,                0.81438,                0.99428,                0.98895,                0.78394,                0.81472,                0.50338,                 0.9403,              0.0050995,              0.0050995,              0.0050995
                    101,                 0.9457,                0.61802,                0.96955,                0.87226,                0.99428,                0.98887,                0.78135,                0.87043,                0.51404,                0.96273,                0.00505,                0.00505,                0.00505
